EXTERNAL/TSAI:  VERSION OF 8/8/96

RUNPLAN for CLAS hadronization experiment                               
 inclusive:                                                             
                                                                        
CLAS TIN                                                                
                                                                        

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = ( 50,119);   avgA = 119.000; amuM=118.891; avgM=110.747
 targ= ordina; ttarg(rl)=0.02345; twall=0.00129; tbeam=0.00264; tspec=0.00000
         Nseg  =   2
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 1
   2.767  0.330 10.65    2.75    7.81    1.58    0.00    9.39 1.735E+02

  10.540 26.217  5.08    2.72    8.38    1.57    0.00    9.95  0.790
   2.342  0.330 11.19    3.87   10.55    2.34    0.00   12.90 1.201E+02

  10.540 30.032  5.36    4.11   10.99    2.65    0.00   13.64  0.790
   1.893  0.330 11.75    6.07   14.56    3.96    0.00   18.53 7.948E+01

  10.540 35.794  5.65    7.21   15.51    5.29    0.00   20.80  0.769
   1.419  0.330 12.35   11.22   21.49    7.92    0.00   29.41 4.888E+01

  10.540 46.171  5.96   16.51   26.33   13.86    0.00   40.19  0.710
   0.919  0.330 12.98   27.83   37.87   20.71    0.00   58.57 2.605E+01

  10.540 76.115  6.28   67.83   68.16   63.70    0.00  131.86  0.593
   0.392  0.330 13.64  129.04   93.38   91.43    0.00  184.81 9.168E+00

  10.540  5.969  1.03    1.79   -9.58    1.57    0.00   -8.01  0.887
   8.983  0.351  2.78    2.62  -16.22    2.27    0.00  -13.94 1.251E+05

  10.540  6.160  1.08    1.64   -9.27    1.44    0.00   -7.83  0.886
   8.897  0.351  2.88    2.41  -15.77    2.09    0.00  -13.68 1.053E+05

  10.540  6.359  1.14    1.51   -8.94    1.32    0.00   -7.62  0.886
   8.807  0.351  2.99    2.23  -15.30    1.93    0.00  -13.37 8.825E+04

  10.540  6.566  1.20    1.40   -8.62    1.22    0.00   -7.40  0.885
   8.712  0.351  3.11    2.06  -14.81    1.77    0.00  -13.03 7.370E+04

  10.540  6.783  1.27    1.29   -8.24    1.12    0.00   -7.13  0.883
   8.611  0.351  3.23    1.90  -14.26    1.63    0.00  -12.63 6.133E+04

  10.540  7.010  1.34    1.20   -7.86    1.03    0.00   -6.83  0.881
   8.506  0.351  3.36    1.76  -13.71    1.51    0.00  -12.20 5.087E+04

  10.540  7.247  1.41    1.11   -7.51    0.95    0.00   -6.56  0.878
   8.394  0.351  3.49    1.63  -13.18    1.39    0.00  -11.79 4.208E+04

  10.540  7.496  1.49    1.03   -7.10    0.87    0.00   -6.23  0.875
   8.276  0.351  3.64    1.51  -12.60    1.28    0.00  -11.32 3.471E+04

  10.540  7.757  1.57    0.96   -6.75    0.80    0.00   -5.95  0.872
   8.152  0.351  3.79    1.41  -12.08    1.18    0.00  -10.90 2.856E+04

  10.540  8.032  1.66    0.89   -6.37    0.74    0.00   -5.63  0.868
   8.020  0.351  3.95    1.31  -11.52    1.09    0.00  -10.43 2.345E+04

  10.540  8.321  1.75    0.83   -6.00    0.68    0.00   -5.32  0.863
   7.882  0.351  4.12    1.22  -10.97    1.00    0.00   -9.97 1.919E+04

  10.540  8.627  1.84    0.78   -5.63    0.63    0.00   -5.01  0.859
   7.736  0.351  4.30    1.15  -10.43    0.93    0.00   -9.50 1.568E+04

  10.540  8.950  1.95    0.73   -5.27    0.58    0.00   -4.69  0.854
   7.582  0.351  4.49    1.07   -9.90    0.86    0.00   -9.04 1.278E+04

  10.540  9.292  2.05    0.69   -4.92    0.53    0.00   -4.38  0.848
   7.420  0.351  4.68    1.01   -9.37    0.79    0.00   -8.57 1.039E+04

  10.540  9.656  2.16    0.65   -4.56    0.50    0.00   -4.06  0.842
   7.249  0.351  4.89    0.96   -8.84    0.74    0.00   -8.10 8.434E+03

  10.540 10.043  2.28    0.62   -4.21    0.46    0.00   -3.75  0.837
   7.069  0.351  5.11    0.91   -8.32    0.69    0.00   -7.63 6.830E+03

  10.540 10.457  2.41    0.60   -3.85    0.43    0.00   -3.42  0.831
   6.878  0.350  5.34    0.87   -7.78    0.64    0.00   -7.14 5.520E+03

  10.540 10.901  2.54    0.58   -3.47    0.40    0.00   -3.07  0.825
   6.677  0.350  5.59    0.84   -7.23    0.60    0.00   -6.62 4.448E+03

  10.540 11.379  2.68    0.57   -3.08    0.38    0.00   -2.70  0.819
   6.465  0.350  5.85    0.81   -6.65    0.57    0.00   -6.08 3.572E+03

  10.540 11.895  2.83    0.56   -2.68    0.36    0.00   -2.31  0.813
   6.242  0.350  6.12    0.80   -6.05    0.54    0.00   -5.50 2.858E+03

  10.540 12.456  2.98    0.56   -2.24    0.35    0.00   -1.89  0.807
   6.006  0.350  6.41    0.79   -5.39    0.52    0.00   -4.87 2.277E+03

  10.540 13.068  3.14    0.57   -1.77    0.34    0.00   -1.43  0.802
   5.758  0.350  6.71    0.80   -4.70    0.51    0.00   -4.19 1.804E+03

  10.540 13.741  3.32    0.59   -1.26    0.34    0.00   -0.92  0.797
   5.496  0.350  7.03    0.82   -3.96    0.51    0.00   -3.45 1.422E+03

  10.540 14.484  3.50    0.62   -0.71    0.34    0.00   -0.37  0.792
   5.219  0.350  7.37    0.86   -3.14    0.51    0.00   -2.63 1.113E+03

  10.540 15.314  3.69    0.67   -0.12    0.35    0.00    0.23  0.787
   4.928  0.350  7.72    0.91   -2.26    0.53    0.00   -1.73 8.647E+02

  10.540 16.249  3.89    0.73    0.54    0.37    0.00    0.91  0.784
   4.620  0.350  8.10    0.99   -1.28    0.56    0.00   -0.73 6.664E+02

  10.540 17.314  4.10    0.82    1.25    0.40    0.00    1.65  0.781
   4.296  0.350  8.49    1.11   -0.22    0.60    0.00    0.38 5.084E+02

  10.540 18.545  4.33    0.94    2.04    0.46    0.00    2.50  0.779
   3.954  0.350  8.91    1.27    0.97    0.68    0.00    1.65 3.836E+02

  10.540 19.994  4.57    1.12    2.94    0.54    0.00    3.48  0.779
   3.593  0.350  9.35    1.51    2.33    0.81    0.00    3.13 2.855E+02

  10.540 21.737  4.81    1.38    3.99    0.67    0.00    4.67  0.780
   3.212  0.350  9.82    1.87    3.92    1.01    0.00    4.92 2.089E+02

  10.540 23.895  5.08    1.78    5.25    0.91    0.00    6.16  0.782
   2.811  0.350 10.31    2.44    5.84    1.35    0.00    7.19 1.495E+02

  10.540 26.676  5.36    2.44    6.89    1.34    0.00    8.23  0.786
   2.387  0.350 10.82    3.42    8.36    2.00    0.00   10.36 1.040E+02

  10.540 30.469  5.65    3.66    9.21    2.25    0.00   11.47  0.790
   1.940  0.350 11.37    5.31   11.92    3.36    0.00   15.29 6.924E+01

  10.540 36.134  5.96    6.32   13.08    4.52    0.00   17.60  0.783
   1.469  0.350 11.95    9.68   17.86    6.75    0.00   24.61 4.298E+01

  10.540 46.095  6.29   14.11   21.95   11.68    0.00   33.63  0.729
   0.973  0.350 12.55   23.36   31.27   17.41    0.00   48.67 2.332E+01

  10.540 72.608  6.62   55.34   56.88   51.85    0.00  108.73  0.615
   0.448  0.350 13.20  103.28   79.08   75.06    0.00  154.14 8.881E+00

  10.540  5.941  1.03    1.94  -10.49    1.74    0.00   -8.75  0.905
   9.068  0.372  2.62    2.84  -17.46    2.52    0.00  -14.94 1.260E+05

  10.540  6.129  1.08    1.78  -10.23    1.59    0.00   -8.64  0.903
   8.987  0.372  2.71    2.61  -17.08    2.30    0.00  -14.78 1.065E+05

  10.540  6.325  1.14    1.63   -9.92    1.45    0.00   -8.47  0.901
   8.901  0.371  2.81    2.39  -16.65    2.11    0.00  -14.55 8.964E+04

  10.540  6.529  1.20    1.50   -9.60    1.33    0.00   -8.27  0.899
   8.811  0.371  2.92    2.20  -16.18    1.93    0.00  -14.25 7.513E+04

  10.540  6.742  1.27    1.38   -9.28    1.22    0.00   -8.07  0.897
   8.716  0.371  3.03    2.03  -15.71    1.77    0.00  -13.94 6.273E+04

  10.540  6.964  1.34    1.27   -8.91    1.12    0.00   -7.80  0.894
   8.616  0.371  3.15    1.87  -15.18    1.63    0.00  -13.55 5.216E+04

  10.540  7.197  1.41    1.17   -8.51    1.02    0.00   -7.49  0.891
   8.510  0.371  3.28    1.73  -14.61    1.49    0.00  -13.11 4.322E+04

  10.540  7.441  1.49    1.09   -8.16    0.94    0.00   -7.22  0.887
   8.399  0.371  3.41    1.60  -14.08    1.37    0.00  -12.71 3.571E+04

  10.540  7.696  1.57    1.01   -7.78    0.86    0.00   -6.92  0.883
   8.281  0.371  3.55    1.48  -13.53    1.26    0.00  -12.27 2.943E+04

  10.540  7.964  1.66    0.94   -7.42    0.79    0.00   -6.63  0.878
   8.157  0.371  3.69    1.38  -12.99    1.16    0.00  -11.83 2.418E+04

  10.540  8.246  1.75    0.87   -7.03    0.73    0.00   -6.31  0.874
   8.026  0.371  3.85    1.28  -12.44    1.07    0.00  -11.37 1.982E+04

  10.540  8.543  1.84    0.81   -6.67    0.67    0.00   -6.00  0.868
   7.888  0.371  4.01    1.19  -11.90    0.98    0.00  -10.92 1.621E+04

  10.540  8.856  1.95    0.76   -6.31    0.61    0.00   -5.70  0.863
   7.743  0.371  4.18    1.11  -11.37    0.90    0.00  -10.47 1.322E+04

  10.540  9.188  2.05    0.71   -5.95    0.56    0.00   -5.39  0.856
   7.589  0.371  4.37    1.04  -10.84    0.83    0.00  -10.01 1.076E+04

  10.540  9.539  2.16    0.67   -5.59    0.52    0.00   -5.08  0.850
   7.427  0.371  4.56    0.98  -10.32    0.77    0.00   -9.55 8.745E+03

  10.540  9.912  2.28    0.63   -5.25    0.48    0.00   -4.77  0.844
   7.257  0.371  4.76    0.92   -9.81    0.71    0.00   -9.10 7.089E+03

  10.540 10.309  2.41    0.60   -4.90    0.44    0.00   -4.45  0.837
   7.076  0.370  4.97    0.87   -9.28    0.66    0.00   -8.62 5.738E+03

  10.540 10.734  2.54    0.57   -4.55    0.41    0.00   -4.13  0.830
   6.886  0.370  5.20    0.83   -8.76    0.61    0.00   -8.15 4.632E+03

  10.540 11.189  2.68    0.56   -4.19    0.38    0.00   -3.80  0.823
   6.686  0.370  5.43    0.80   -8.23    0.57    0.00   -7.66 3.730E+03

  10.540 11.679  2.83    0.54   -3.81    0.36    0.00   -3.45  0.817
   6.475  0.370  5.68    0.77   -7.68    0.54    0.00   -7.14 2.994E+03

  10.540 12.208  2.98    0.53   -3.42    0.34    0.00   -3.07  0.810
   6.252  0.370  5.95    0.76   -7.09    0.51    0.00   -6.58 2.395E+03

  10.540 12.783  3.14    0.53   -2.99    0.33    0.00   -2.67  0.803
   6.017  0.370  6.22    0.75   -6.47    0.49    0.00   -5.98 1.907E+03

  10.540 13.410  3.32    0.54   -2.54    0.32    0.00   -2.22  0.797
   5.769  0.370  6.52    0.75   -5.80    0.47    0.00   -5.33 1.512E+03

  10.540 14.099  3.50    0.56   -2.05    0.31    0.00   -1.74  0.792
   5.507  0.370  6.83    0.77   -5.07    0.47    0.00   -4.61 1.192E+03

  10.540 14.860  3.69    0.59   -1.52    0.31    0.00   -1.21  0.786
   5.231  0.370  7.15    0.80   -4.29    0.47    0.00   -3.82 9.334E+02

  10.540 15.710  3.89    0.63   -0.95    0.32    0.00   -0.63  0.781
   4.940  0.370  7.50    0.85   -3.45    0.48    0.00   -2.97 7.257E+02

  10.540 16.666  4.10    0.68   -0.34    0.34    0.00    0.00  0.777
   4.634  0.370  7.86    0.92   -2.53    0.50    0.00   -2.03 5.593E+02

  10.540 17.756  4.33    0.77    0.35    0.36    0.00    0.71  0.774
   4.310  0.370  8.24    1.03   -1.51    0.54    0.00   -0.97 4.272E+02

  10.540 19.014  4.57    0.88    1.10    0.41    0.00    1.51  0.771
   3.969  0.370  8.65    1.18   -0.38    0.61    0.00    0.23 3.225E+02

  10.540 20.494  4.81    1.04    1.96    0.48    0.00    2.45  0.771
   3.608  0.370  9.07    1.39    0.92    0.72    0.00    1.64 2.404E+02

  10.540 22.272  5.08    1.28    2.94    0.60    0.00    3.54  0.772
   3.229  0.370  9.52    1.72    2.40    0.89    0.00    3.29 1.760E+02

  10.540 24.472  5.36    1.65    4.14    0.80    0.00    4.94  0.775
   2.828  0.370 10.00    2.24    4.22    1.19    0.00    5.41 1.262E+02

  10.540 27.301  5.65    2.25    5.65    1.18    0.00    6.83  0.780
   2.406  0.370 10.49    3.12    6.54    1.76    0.00    8.30 8.776E+01

  10.540 31.152  5.96    3.36    7.77    1.99    0.00    9.77  0.788
   1.960  0.370 11.02    4.82    9.81    2.97    0.00   12.78 5.855E+01

  10.540 36.876  6.28    5.79   11.25    4.06    0.00   15.30  0.791
   1.490  0.370 11.58    8.76   15.14    6.04    0.00   21.18 3.646E+01

  10.540 46.860  6.63   12.94   19.12   10.66    0.00   29.78  0.743
   0.994  0.370 12.17   21.18   27.03   15.83    0.00   42.87 1.997E+01

  10.540 72.743  7.00   50.56   50.77   47.65    0.00   98.41  0.630
   0.472  0.370 12.78   93.37   69.68   68.60    0.00  138.28 7.754E+00

  10.540  5.916  1.03    2.13  -11.30    2.04    0.00   -9.27  0.964
   9.144  0.392  2.47    3.11  -18.55    2.88    0.00  -15.67 1.256E+05

  10.540  6.102  1.08    1.95  -11.11    1.83    0.00   -9.28  0.951
   9.067  0.392  2.56    2.84  -18.26    2.61    0.00  -15.65 1.065E+05

  10.540  6.295  1.14    1.78  -10.87    1.65    0.00   -9.21  0.939
   8.986  0.392  2.65    2.60  -17.92    2.37    0.00  -15.55 8.991E+04

  10.540  6.496  1.20    1.63  -10.58    1.49    0.00   -9.09  0.928
   8.900  0.391  2.75    2.38  -17.50    2.15    0.00  -15.36 7.567E+04

  10.540  6.706  1.27    1.49  -10.24    1.35    0.00   -8.89  0.918
   8.810  0.391  2.86    2.18  -17.03    1.95    0.00  -15.08 6.338E+04

  10.540  6.925  1.34    1.37   -9.93    1.23    0.00   -8.70  0.911
   8.715  0.391  2.96    2.01  -16.56    1.78    0.00  -14.79 5.291E+04

  10.540  7.153  1.41    1.26   -9.55    1.12    0.00   -8.43  0.907
   8.615  0.391  3.08    1.85  -16.03    1.63    0.00  -14.40 4.395E+04

  10.540  7.392  1.49    1.16   -9.15    1.02    0.00   -8.12  0.902
   8.509  0.391  3.20    1.70  -15.46    1.49    0.00  -13.97 3.639E+04

  10.540  7.642  1.57    1.07   -8.78    0.94    0.00   -7.85  0.897
   8.397  0.391  3.33    1.57  -14.93    1.36    0.00  -13.57 3.004E+04

  10.540  7.905  1.66    0.99   -8.39    0.86    0.00   -7.54  0.892
   8.280  0.391  3.46    1.46  -14.37    1.25    0.00  -13.12 2.471E+04

  10.540  8.180  1.75    0.92   -8.02    0.78    0.00   -7.24  0.886
   8.156  0.391  3.60    1.35  -13.83    1.14    0.00  -12.68 2.027E+04

  10.540  8.470  1.85    0.85   -7.66    0.72    0.00   -6.94  0.880
   8.025  0.391  3.75    1.25  -13.29    1.05    0.00  -12.24 1.659E+04

  10.540  8.775  1.95    0.79   -7.29    0.65    0.00   -6.63  0.873
   7.887  0.391  3.91    1.16  -12.75    0.96    0.00  -11.79 1.355E+04

  10.540  9.097  2.05    0.74   -6.92    0.60    0.00   -6.32  0.866
   7.741  0.391  4.08    1.08  -12.22    0.88    0.00  -11.34 1.104E+04

  10.540  9.438  2.16    0.69   -6.57    0.55    0.00   -6.02  0.859
   7.587  0.391  4.26    1.01  -11.70    0.81    0.00  -10.89 8.975E+03

  10.540  9.798  2.28    0.65   -6.22    0.50    0.00   -5.72  0.852
   7.425  0.391  4.44    0.95  -11.19    0.74    0.00  -10.44 7.283E+03

  10.540 10.182  2.41    0.61   -5.88    0.46    0.00   -5.42  0.845
   7.254  0.391  4.64    0.89  -10.68    0.68    0.00   -9.99 5.898E+03

  10.540 10.590  2.54    0.58   -5.54    0.43    0.00   -5.11  0.837
   7.074  0.391  4.84    0.84  -10.17    0.63    0.00   -9.54 4.767E+03

  10.540 11.026  2.68    0.56   -5.20    0.40    0.00   -4.80  0.830
   6.884  0.390  5.06    0.80   -9.67    0.59    0.00   -9.08 3.845E+03

  10.540 11.494  2.83    0.53   -4.85    0.37    0.00   -4.48  0.822
   6.684  0.391  5.29    0.76   -9.15    0.55    0.00   -8.60 3.093E+03

  10.540 11.998  2.98    0.52   -4.48    0.34    0.00   -4.13  0.814
   6.472  0.390  5.53    0.74   -8.60    0.51    0.00   -8.09 2.482E+03

  10.540 12.542  3.14    0.51   -4.09    0.32    0.00   -3.77  0.807
   6.249  0.390  5.79    0.72   -8.04    0.48    0.00   -7.55 1.984E+03

  10.540 13.133  3.32    0.51   -3.68    0.31    0.00   -3.37  0.800
   6.014  0.390  6.06    0.71   -7.43    0.46    0.00   -6.97 1.579E+03

  10.540 13.777  3.50    0.52   -3.25    0.30    0.00   -2.95  0.793
   5.766  0.390  6.34    0.72   -6.79    0.44    0.00   -6.34 1.251E+03

  10.540 14.486  3.69    0.53   -2.77    0.29    0.00   -2.48  0.786
   5.504  0.390  6.64    0.73   -6.09    0.44    0.00   -5.66 9.862E+02

  10.540 15.269  3.89    0.56   -2.27    0.29    0.00   -1.97  0.780
   5.228  0.390  6.96    0.76   -5.34    0.43    0.00   -4.91 7.723E+02

  10.540 16.143  4.10    0.59   -1.71    0.30    0.00   -1.42  0.774
   4.937  0.390  7.29    0.80   -4.53    0.44    0.00   -4.08 6.004E+02

  10.540 17.126  4.33    0.65   -1.11    0.31    0.00   -0.80  0.770
   4.630  0.390  7.64    0.87   -3.64    0.46    0.00   -3.17 4.629E+02

  10.540 18.248  4.56    0.72   -0.46    0.33    0.00   -0.12  0.766
   4.306  0.390  8.01    0.96   -2.66    0.50    0.00   -2.16 3.535E+02

  10.540 19.543  4.81    0.83    0.27    0.37    0.00    0.64  0.763
   3.964  0.390  8.41    1.10   -1.57    0.56    0.00   -1.01 2.670E+02

  10.540 21.067  5.08    0.98    1.09    0.44    0.00    1.52  0.763
   3.604  0.390  8.82    1.30   -0.34    0.65    0.00    0.31 1.988E+02

  10.540 22.899  5.36    1.21    2.04    0.54    0.00    2.58  0.765
   3.224  0.390  9.25    1.61    1.10    0.81    0.00    1.91 1.456E+02

  10.540 25.166  5.65    1.55    3.17    0.73    0.00    3.90  0.768
   2.823  0.390  9.71    2.09    2.83    1.08    0.00    3.91 1.043E+02

  10.540 28.085  5.96    2.12    4.62    1.08    0.00    5.69  0.776
   2.400  0.390 10.20    2.92    5.05    1.60    0.00    6.65 7.255E+01

  10.540 32.062  6.29    3.18    6.60    1.83    0.00    8.43  0.785
   1.955  0.390 10.70    4.52    8.10    2.72    0.00   10.82 4.826E+01

  10.540 37.986  6.63    5.53    9.85    3.81    0.00   13.66  0.794
   1.484  0.390 11.25    8.29   13.10    5.65    0.00   18.75 3.003E+01

  10.540 48.363  6.99   12.55   17.20   10.38    0.00   27.58  0.754
   0.988  0.390 11.82   20.43   24.15   15.37    0.00   39.52 1.638E+01

  10.540 75.651  7.37   51.64   49.06   49.26    0.00   98.31  0.635
   0.465  0.390 12.41   95.12   64.67   69.69    0.00  134.36 6.325E+00

  10.540  5.894  1.03    2.34  -12.17    2.46    0.00   -9.71  1.059
   9.212  0.412  2.35    3.41  -19.63    3.37    0.00  -16.26 1.246E+05

  10.540  6.078  1.08    2.14  -11.95    2.21    0.00   -9.75  1.039
   9.139  0.412  2.43    3.11  -19.35    3.04    0.00  -16.31 1.056E+05

  10.540  6.268  1.14    1.95  -11.74    1.97    0.00   -9.77  1.020
   9.062  0.412  2.51    2.84  -19.06    2.74    0.00  -16.31 8.934E+04

  10.540  6.467  1.20    1.78  -11.47    1.77    0.00   -9.70  1.003
   8.981  0.412  2.60    2.60  -18.69    2.48    0.00  -16.22 7.535E+04

  10.540  6.674  1.27    1.63  -11.15    1.59    0.00   -9.56  0.987
   8.895  0.412  2.70    2.37  -18.26    2.23    0.00  -16.02 6.336E+04

  10.540  6.889  1.34    1.48  -10.86    1.42    0.00   -9.44  0.971
   8.804  0.411  2.80    2.17  -17.83    2.02    0.00  -15.81 5.306E+04

  10.540  7.114  1.41    1.36  -10.50    1.28    0.00   -9.21  0.957
   8.709  0.411  2.90    1.99  -17.33    1.83    0.00  -15.50 4.423E+04

  10.540  7.349  1.49    1.25  -10.10    1.16    0.00   -8.94  0.943
   8.608  0.411  3.02    1.83  -16.77    1.66    0.00  -15.11 3.672E+04

  10.540  7.595  1.57    1.15   -9.71    1.05    0.00   -8.66  0.930
   8.502  0.411  3.13    1.68  -16.22    1.51    0.00  -14.72 3.036E+04

  10.540  7.852  1.66    1.06   -9.38    0.95    0.00   -8.43  0.918
   8.390  0.411  3.26    1.55  -15.72    1.37    0.00  -14.35 2.503E+04

  10.540  8.122  1.75    0.98   -8.98    0.86    0.00   -8.12  0.906
   8.272  0.411  3.39    1.43  -15.16    1.25    0.00  -13.91 2.057E+04

  10.540  8.406  1.85    0.91   -8.59    0.78    0.00   -7.81  0.896
   8.148  0.411  3.52    1.32  -14.60    1.14    0.00  -13.47 1.685E+04

  10.540  8.704  1.95    0.84   -8.23    0.71    0.00   -7.52  0.888
   8.016  0.411  3.67    1.23  -14.06    1.04    0.00  -13.03 1.377E+04

  10.540  9.017  2.05    0.78   -7.86    0.65    0.00   -7.22  0.880
   7.878  0.411  3.82    1.14  -13.54    0.95    0.00  -12.59 1.122E+04

  10.540  9.349  2.16    0.72   -7.51    0.59    0.00   -6.92  0.872
   7.732  0.411  3.98    1.06  -13.02    0.87    0.00  -12.15 9.130E+03

  10.540  9.699  2.28    0.68   -7.15    0.54    0.00   -6.61  0.863
   7.578  0.411  4.16    0.98  -12.50    0.79    0.00  -11.71 7.412E+03

  10.540 10.071  2.41    0.63   -6.81    0.49    0.00   -6.31  0.855
   7.415  0.411  4.34    0.92  -11.99    0.73    0.00  -11.26 6.007E+03

  10.540 10.465  2.54    0.60   -6.48    0.45    0.00   -6.02  0.847
   7.244  0.411  4.53    0.86  -11.50    0.67    0.00  -10.83 4.858E+03

  10.540 10.886  2.68    0.56   -6.13    0.42    0.00   -5.72  0.838
   7.063  0.411  4.73    0.81  -10.99    0.61    0.00  -10.38 3.922E+03

  10.540 11.335  2.83    0.54   -5.79    0.38    0.00   -5.41  0.830
   6.872  0.411  4.94    0.77  -10.49    0.57    0.00   -9.92 3.160E+03

  10.540 11.817  2.98    0.52   -5.45    0.35    0.00   -5.09  0.821
   6.671  0.410  5.16    0.74   -9.98    0.52    0.00   -9.46 2.539E+03

  10.540 12.336  3.14    0.50   -5.09    0.33    0.00   -4.76  0.812
   6.459  0.410  5.40    0.71   -9.46    0.49    0.00   -8.97 2.035E+03

  10.540 12.897  3.32    0.49   -4.72    0.31    0.00   -4.41  0.804
   6.235  0.410  5.64    0.69   -8.90    0.46    0.00   -8.44 1.626E+03

  10.540 13.506  3.50    0.49   -4.32    0.29    0.00   -4.03  0.796
   5.999  0.410  5.90    0.68   -8.32    0.44    0.00   -7.88 1.293E+03

  10.540 14.171  3.69    0.50   -3.89    0.28    0.00   -3.61  0.788
   5.750  0.410  6.18    0.68   -7.69    0.42    0.00   -7.27 1.024E+03

  10.540 14.901  3.89    0.51   -3.43    0.28    0.00   -3.16  0.781
   5.487  0.410  6.47    0.70   -7.01    0.41    0.00   -6.60 8.069E+02

  10.540 15.710  4.10    0.53   -2.94    0.27    0.00   -2.67  0.774
   5.211  0.410  6.78    0.72   -6.29    0.41    0.00   -5.89 6.312E+02

  10.540 16.613  4.33    0.57   -2.40    0.28    0.00   -2.13  0.768
   4.918  0.410  7.10    0.76   -5.49    0.41    0.00   -5.08 4.907E+02

  10.540 17.630  4.56    0.62   -1.82    0.29    0.00   -1.53  0.763
   4.610  0.410  7.44    0.82   -4.63    0.43    0.00   -4.20 3.781E+02

  10.540 18.790  4.81    0.69   -1.18    0.31    0.00   -0.87  0.759
   4.285  0.410  7.80    0.91   -3.68    0.46    0.00   -3.22 2.886E+02

  10.540 20.132  5.08    0.79   -0.48    0.34    0.00   -0.14  0.755
   3.943  0.410  8.18    1.05   -2.63    0.51    0.00   -2.12 2.176E+02

  10.540 21.712  5.36    0.94    0.32    0.40    0.00    0.72  0.755
   3.581  0.410  8.58    1.24   -1.43    0.60    0.00   -0.83 1.620E+02

  10.540 23.615  5.65    1.16    1.23    0.50    0.00    1.73  0.756
   3.200  0.410  9.01    1.53   -0.04    0.74    0.00    0.70 1.184E+02

  10.540 25.976  5.96    1.49    2.33    0.67    0.00    3.00  0.761
   2.798  0.410  9.45    1.99    1.63    1.00    0.00    2.63 8.464E+01

  10.540 29.025  6.29    2.05    3.72    1.01    0.00    4.72  0.770
   2.374  0.410  9.92    2.79    3.76    1.49    0.00    5.26 5.868E+01

  10.540 33.199  6.63    3.10    5.65    1.75    0.00    7.40  0.783
   1.926  0.410 10.42    4.38    6.74    2.59    0.00    9.33 3.896E+01

  10.540 39.467  6.99    5.47    8.75    3.74    0.00   12.49  0.796
   1.455  0.410 10.94    8.15   11.50    5.53    0.00   17.03 2.402E+01

  10.540 50.622  7.37   12.87   16.02   10.79    0.00   26.81  0.761
   0.957  0.410 11.49   20.94   22.34   15.93    0.00   38.27 1.294E+01

  10.540 81.612  7.78   58.61   51.24   56.92    0.00  108.16  0.632
   0.432  0.410 12.07  107.81   57.33   75.53    0.00  132.86 4.791E+00

  10.540  5.874  1.03    2.59  -13.02    3.03    0.00   -9.99  1.181
   9.274  0.432  2.23    3.75  -20.69    4.00    0.00  -16.69 1.230E+05

  10.540  6.056  1.08    2.36  -12.82    2.70    0.00  -10.12  1.153
   9.204  0.432  2.30    3.42  -20.43    3.60    0.00  -16.83 1.042E+05

  10.540  6.245  1.14    2.16  -12.58    2.41    0.00  -10.17  1.128
   9.131  0.432  2.38    3.13  -20.12    3.24    0.00  -16.88 8.815E+04

  10.540  6.441  1.20    1.96  -12.34    2.14    0.00  -10.19  1.103
   9.053  0.432  2.47    2.85  -19.80    2.90    0.00  -16.90 7.449E+04

  10.540  6.645  1.27    1.79  -12.07    1.91    0.00  -10.15  1.081
   8.972  0.432  2.55    2.60  -19.44    2.61    0.00  -16.83 6.274E+04

  10.540  6.858  1.34    1.63  -11.76    1.70    0.00  -10.06  1.058
   8.885  0.431  2.65    2.37  -19.02    2.34    0.00  -16.68 5.271E+04

  10.540  7.080  1.41    1.49  -11.43    1.52    0.00   -9.91  1.038
   8.794  0.431  2.74    2.17  -18.56    2.11    0.00  -16.45 4.409E+04

  10.540  7.311  1.49    1.36  -11.08    1.36    0.00   -9.72  1.018
   8.698  0.431  2.85    1.98  -18.07    1.90    0.00  -16.17 3.672E+04

  10.540  7.553  1.57    1.25  -10.74    1.22    0.00   -9.51  1.000
   8.597  0.431  2.95    1.82  -17.58    1.71    0.00  -15.86 3.046E+04

  10.540  7.806  1.66    1.15  -10.30    1.10    0.00   -9.20  0.983
   8.491  0.431  3.07    1.67  -16.99    1.55    0.00  -15.44 2.513E+04

  10.540  8.071  1.75    1.05   -9.90    0.99    0.00   -8.91  0.965
   8.378  0.431  3.19    1.54  -16.43    1.40    0.00  -15.02 2.069E+04

  10.540  8.349  1.84    0.97   -9.54    0.89    0.00   -8.65  0.949
   8.259  0.431  3.32    1.42  -15.89    1.27    0.00  -14.62 1.697E+04

  10.540  8.640  1.95    0.90   -9.15    0.80    0.00   -8.35  0.933
   8.134  0.431  3.45    1.31  -15.35    1.15    0.00  -14.19 1.389E+04

  10.540  8.947  2.05    0.83   -8.78    0.73    0.00   -8.06  0.918
